"STATISTIC Label","Year","Country","Sex","Origin or Destination","UNIT","VALUE"
"Estimated Migration (Persons in April)","1996","EU14 excl Irl (UK & Ireland)","Male","Emigrants: All destinations","Thousand","2.2"
"Estimated Migration (Persons in April)","1996","EU14 excl Irl (UK & Ireland)","Male","Immigrants: All origins","Thousand","3.2"
"Estimated Migration (Persons in April)","1996","EU14 excl Irl (UK & Ireland)","Female","Net migration","Thousand","-3.5"
"Estimated Migration (Persons in April)","1996","EU14 excl Irl (UK & Ireland)","Female","Emigrants: All destinations","Thousand","2.8"
"Estimated Migration (Persons in April)","1996","EU14 excl Irl (UK & Ireland)","Female","Immigrants: All origins","Thousand","3.9"
"Estimated Migration (Persons in April)","1996","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1996","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1996","EU15 to EU27 (accession countries joined post 2004)","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","EU15 to EU27 (accession countries joined post 2004)","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1996","EU15 to EU27 (accession countries joined post 2004)","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1996","EU15 to EU27 (accession countries joined post 2004)","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1996","EU15 to EU27 (accession countries joined post 2004)","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1996","EU15 to EU27 (accession countries joined post 2004)","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1997","United Kingdom (1)","Both sexes","Net migration","Thousand","8.7"
"Estimated Migration (Persons in April)","1997","United Kingdom (1)","Both sexes","Emigrants: All destinations","Thousand","11.6"
"Estimated Migration (Persons in April)","1997","United Kingdom (1)","Both sexes","Immigrants: All origins","Thousand","20.3"
"Estimated Migration (Persons in April)","1997","United Kingdom (1)","Male","Net migration","Thousand","5"
"Estimated Migration (Persons in April)","1997","United Kingdom (1)","Male","Emigrants: All destinations","Thousand","5.4"
"Estimated Migration (Persons in April)","1997","United Kingdom (1)","Male","Immigrants: All origins","Thousand","10.4"
"Estimated Migration (Persons in April)","1997","United Kingdom (1)","Female","Net migration","Thousand","3.8"
"Estimated Migration (Persons in April)","1997","United Kingdom (1)","Female","Emigrants: All destinations","Thousand","6.1"
"Estimated Migration (Persons in April)","1997","United Kingdom (1)","Female","Immigrants: All origins","Thousand","9.9"
"Estimated Migration (Persons in April)","1997","United States","Both sexes","Net migration","Thousand","3.3"
"Estimated Migration (Persons in April)","1997","United States","Both sexes","Emigrants: All destinations","Thousand","3.4"
"Estimated Migration (Persons in April)","1997","United States","Both sexes","Immigrants: All origins","Thousand","6.7"
"Estimated Migration (Persons in April)","1997","United States","Male","Net migration","Thousand","0.6"
"Estimated Migration (Persons in April)","1997","United States","Male","Emigrants: All destinations","Thousand","2.1"
"Estimated Migration (Persons in April)","1997","United States","Male","Immigrants: All origins","Thousand","2.7"
"Estimated Migration (Persons in April)","1997","United States","Female","Net migration","Thousand","2.7"
"Estimated Migration (Persons in April)","1997","United States","Female","Emigrants: All destinations","Thousand","1.3"
"Estimated Migration (Persons in April)","1997","United States","Female","Immigrants: All origins","Thousand","4"
"Estimated Migration (Persons in April)","1997","Canada","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","Canada","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1997","Canada","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1997","Canada","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","Canada","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1997","Canada","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1997","Canada","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","Canada","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1997","Canada","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1997","Australia","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","Australia","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1997","Australia","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1997","Australia","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","Australia","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1997","Australia","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1997","Australia","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","Australia","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1997","Australia","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1997","Other countries (23)","Both sexes","Net migration","Thousand","2.8"
"Estimated Migration (Persons in April)","1997","Other countries (23)","Both sexes","Emigrants: All destinations","Thousand","6.6"
"Estimated Migration (Persons in April)","1997","Other countries (23)","Both sexes","Immigrants: All origins","Thousand","9.4"
"Estimated Migration (Persons in April)","1997","Other countries (23)","Male","Net migration","Thousand","1.7"
"Estimated Migration (Persons in April)","1997","Other countries (23)","Male","Emigrants: All destinations","Thousand","3.2"
"Estimated Migration (Persons in April)","1997","Other countries (23)","Male","Immigrants: All origins","Thousand","4.9"
"Estimated Migration (Persons in April)","1997","Other countries (23)","Female","Net migration","Thousand","-1.1"
"Estimated Migration (Persons in April)","1997","Other countries (23)","Female","Emigrants: All destinations","Thousand","3.4"
"Estimated Migration (Persons in April)","1997","Other countries (23)","Female","Immigrants: All origins","Thousand","4.5"
"Estimated Migration (Persons in April)","1997","All countries","Both sexes","Net migration","Thousand","19.2"
"Estimated Migration (Persons in April)","1997","All countries","Both sexes","Emigrants: All destinations","Thousand","25.3"
"Estimated Migration (Persons in April)","1997","All countries","Both sexes","Immigrants: All origins","Thousand","44.5"
"Estimated Migration (Persons in April)","1997","All countries","Male","Net migration","Thousand","9.5"
"Estimated Migration (Persons in April)","1997","All countries","Male","Emigrants: All destinations","Thousand","12.5"
"Estimated Migration (Persons in April)","1997","All countries","Male","Immigrants: All origins","Thousand","22"
"Estimated Migration (Persons in April)","1997","All countries","Female","Net migration","Thousand","9.7"
"Estimated Migration (Persons in April)","1997","All countries","Female","Emigrants: All destinations","Thousand","12.9"
"Estimated Migration (Persons in April)","1997","All countries","Female","Immigrants: All origins","Thousand","22.6"
"Estimated Migration (Persons in April)","1997","EU14 excl Irl (UK & Ireland)","Both sexes","Net migration","Thousand","4.3"
"Estimated Migration (Persons in April)","1997","EU14 excl Irl (UK & Ireland)","Both sexes","Emigrants: All destinations","Thousand","3.8"
"Estimated Migration (Persons in April)","1997","EU14 excl Irl (UK & Ireland)","Both sexes","Immigrants: All origins","Thousand","8.1"
"Estimated Migration (Persons in April)","1997","EU14 excl Irl (UK & Ireland)","Male","Net migration","Thousand","2.1"
"Estimated Migration (Persons in April)","1997","EU14 excl Irl (UK & Ireland)","Male","Emigrants: All destinations","Thousand","1.8"
"Estimated Migration (Persons in April)","1997","EU14 excl Irl (UK & Ireland)","Male","Immigrants: All origins","Thousand","3.9"
"Estimated Migration (Persons in April)","1997","EU14 excl Irl (UK & Ireland)","Female","Net migration","Thousand","-1.9"
"Estimated Migration (Persons in April)","1997","EU14 excl Irl (UK & Ireland)","Female","Emigrants: All destinations","Thousand","2"
"Estimated Migration (Persons in April)","1997","EU14 excl Irl (UK & Ireland)","Female","Immigrants: All origins","Thousand","4.2"
"Estimated Migration (Persons in April)","1997","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1997","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1997","EU15 to EU27 (accession countries joined post 2004)","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","EU15 to EU27 (accession countries joined post 2004)","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1997","EU15 to EU27 (accession countries joined post 2004)","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1997","EU15 to EU27 (accession countries joined post 2004)","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1997","EU15 to EU27 (accession countries joined post 2004)","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1997","EU15 to EU27 (accession countries joined post 2004)","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1998","United Kingdom (1)","Both sexes","Net migration","Thousand","10.3"
"Estimated Migration (Persons in April)","1998","United Kingdom (1)","Both sexes","Emigrants: All destinations","Thousand","11.8"
"Estimated Migration (Persons in April)","1998","United Kingdom (1)","Both sexes","Immigrants: All origins","Thousand","22.1"
"Estimated Migration (Persons in April)","1998","United Kingdom (1)","Male","Net migration","Thousand","5.4"
"Estimated Migration (Persons in April)","1998","United Kingdom (1)","Male","Emigrants: All destinations","Thousand","6"
"Estimated Migration (Persons in April)","1998","United Kingdom (1)","Male","Immigrants: All origins","Thousand","11.4"
"Estimated Migration (Persons in April)","1998","United Kingdom (1)","Female","Net migration","Thousand","4.8"
"Estimated Migration (Persons in April)","1998","United Kingdom (1)","Female","Emigrants: All destinations","Thousand","5.8"
"Estimated Migration (Persons in April)","1998","United Kingdom (1)","Female","Immigrants: All origins","Thousand","10.6"
"Estimated Migration (Persons in April)","1998","United States","Both sexes","Net migration","Thousand","-0.2"
"Estimated Migration (Persons in April)","1998","United States","Both sexes","Emigrants: All destinations","Thousand","5.3"
"Estimated Migration (Persons in April)","1998","United States","Both sexes","Immigrants: All origins","Thousand","5.1"
"Estimated Migration (Persons in April)","1998","United States","Male","Net migration","Thousand","-0.6"
"Estimated Migration (Persons in April)","1998","United States","Male","Emigrants: All destinations","Thousand","3.3"
"Estimated Migration (Persons in April)","1998","United States","Male","Immigrants: All origins","Thousand","2.7"
"Estimated Migration (Persons in April)","1998","United States","Female","Net migration","Thousand","0.4"
"Estimated Migration (Persons in April)","1998","United States","Female","Emigrants: All destinations","Thousand","2"
"Estimated Migration (Persons in April)","1998","United States","Female","Immigrants: All origins","Thousand","2.4"
"Estimated Migration (Persons in April)","1998","Canada","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","Canada","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1998","Canada","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1998","Canada","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","Canada","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1998","Canada","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1998","Canada","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","Canada","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1998","Canada","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1998","Australia","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","Australia","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1998","Australia","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1998","Australia","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","Australia","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1998","Australia","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1998","Australia","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","Australia","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1998","Australia","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1998","Other countries (23)","Both sexes","Net migration","Thousand","4.1"
"Estimated Migration (Persons in April)","1998","Other countries (23)","Both sexes","Emigrants: All destinations","Thousand","5.6"
"Estimated Migration (Persons in April)","1998","Other countries (23)","Both sexes","Immigrants: All origins","Thousand","9.7"
"Estimated Migration (Persons in April)","1998","Other countries (23)","Male","Net migration","Thousand","2.7"
"Estimated Migration (Persons in April)","1998","Other countries (23)","Male","Emigrants: All destinations","Thousand","2.3"
"Estimated Migration (Persons in April)","1998","Other countries (23)","Male","Immigrants: All origins","Thousand","5"
"Estimated Migration (Persons in April)","1998","Other countries (23)","Female","Net migration","Thousand","-1.5"
"Estimated Migration (Persons in April)","1998","Other countries (23)","Female","Emigrants: All destinations","Thousand","3.2"
"Estimated Migration (Persons in April)","1998","Other countries (23)","Female","Immigrants: All origins","Thousand","4.7"
"Estimated Migration (Persons in April)","1998","All countries","Both sexes","Net migration","Thousand","17.4"
"Estimated Migration (Persons in April)","1998","All countries","Both sexes","Emigrants: All destinations","Thousand","28.6"
"Estimated Migration (Persons in April)","1998","All countries","Both sexes","Immigrants: All origins","Thousand","46"
"Estimated Migration (Persons in April)","1998","All countries","Male","Net migration","Thousand","8.8"
"Estimated Migration (Persons in April)","1998","All countries","Male","Emigrants: All destinations","Thousand","13.9"
"Estimated Migration (Persons in April)","1998","All countries","Male","Immigrants: All origins","Thousand","22.7"
"Estimated Migration (Persons in April)","1998","All countries","Female","Net migration","Thousand","8.6"
"Estimated Migration (Persons in April)","1998","All countries","Female","Emigrants: All destinations","Thousand","14.7"
"Estimated Migration (Persons in April)","1998","All countries","Female","Immigrants: All origins","Thousand","23.3"
"Estimated Migration (Persons in April)","1998","EU14 excl Irl (UK & Ireland)","Both sexes","Net migration","Thousand","3.2"
"Estimated Migration (Persons in April)","1998","EU14 excl Irl (UK & Ireland)","Both sexes","Emigrants: All destinations","Thousand","5.9"
"Estimated Migration (Persons in April)","1998","EU14 excl Irl (UK & Ireland)","Both sexes","Immigrants: All origins","Thousand","9.1"
"Estimated Migration (Persons in April)","1998","EU14 excl Irl (UK & Ireland)","Male","Net migration","Thousand","1.2"
"Estimated Migration (Persons in April)","1998","EU14 excl Irl (UK & Ireland)","Male","Emigrants: All destinations","Thousand","2.3"
"Estimated Migration (Persons in April)","1998","EU14 excl Irl (UK & Ireland)","Male","Immigrants: All origins","Thousand","3.5"
"Estimated Migration (Persons in April)","1998","EU14 excl Irl (UK & Ireland)","Female","Net migration","Thousand","-0.3"
"Estimated Migration (Persons in April)","1998","EU14 excl Irl (UK & Ireland)","Female","Emigrants: All destinations","Thousand","3.6"
"Estimated Migration (Persons in April)","1998","EU14 excl Irl (UK & Ireland)","Female","Immigrants: All origins","Thousand","5.5"
"Estimated Migration (Persons in April)","1998","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1998","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1998","EU15 to EU27 (accession countries joined post 2004)","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","EU15 to EU27 (accession countries joined post 2004)","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1998","EU15 to EU27 (accession countries joined post 2004)","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1998","EU15 to EU27 (accession countries joined post 2004)","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1998","EU15 to EU27 (accession countries joined post 2004)","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1998","EU15 to EU27 (accession countries joined post 2004)","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1999","United Kingdom (1)","Both sexes","Net migration","Thousand","11.1"
"Estimated Migration (Persons in April)","1999","United Kingdom (1)","Both sexes","Emigrants: All destinations","Thousand","11.2"
"Estimated Migration (Persons in April)","1999","United Kingdom (1)","Both sexes","Immigrants: All origins","Thousand","22.3"
"Estimated Migration (Persons in April)","1999","United Kingdom (1)","Male","Net migration","Thousand","6.6"
"Estimated Migration (Persons in April)","1999","United Kingdom (1)","Male","Emigrants: All destinations","Thousand","5.2"
"Estimated Migration (Persons in April)","1999","United Kingdom (1)","Male","Immigrants: All origins","Thousand","11.8"
"Estimated Migration (Persons in April)","1999","United Kingdom (1)","Female","Net migration","Thousand","4.5"
"Estimated Migration (Persons in April)","1999","United Kingdom (1)","Female","Emigrants: All destinations","Thousand","6"
"Estimated Migration (Persons in April)","1999","United Kingdom (1)","Female","Immigrants: All origins","Thousand","10.5"
"Estimated Migration (Persons in April)","1999","United States","Both sexes","Net migration","Thousand","0.6"
"Estimated Migration (Persons in April)","1999","United States","Both sexes","Emigrants: All destinations","Thousand","5.3"
"Estimated Migration (Persons in April)","1999","United States","Both sexes","Immigrants: All origins","Thousand","5.9"
"Estimated Migration (Persons in April)","1999","United States","Male","Net migration","Thousand","-0.1"
"Estimated Migration (Persons in April)","1999","United States","Male","Emigrants: All destinations","Thousand","2.9"
"Estimated Migration (Persons in April)","1999","United States","Male","Immigrants: All origins","Thousand","2.8"
"Estimated Migration (Persons in April)","1999","United States","Female","Net migration","Thousand","0.6"
"Estimated Migration (Persons in April)","1999","United States","Female","Emigrants: All destinations","Thousand","2.4"
"Estimated Migration (Persons in April)","1999","United States","Female","Immigrants: All origins","Thousand","3"
"Estimated Migration (Persons in April)","1999","Canada","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","Canada","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1999","Canada","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1999","Canada","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","Canada","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1999","Canada","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1999","Canada","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","Canada","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1999","Canada","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1999","Australia","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","Australia","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1999","Australia","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1999","Australia","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","Australia","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1999","Australia","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1999","Australia","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","Australia","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1999","Australia","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1999","Other countries (23)","Both sexes","Net migration","Thousand","1"
"Estimated Migration (Persons in April)","1999","Other countries (23)","Both sexes","Emigrants: All destinations","Thousand","9.5"
"Estimated Migration (Persons in April)","1999","Other countries (23)","Both sexes","Immigrants: All origins","Thousand","10.5"
"Estimated Migration (Persons in April)","1999","Other countries (23)","Male","Net migration","Thousand","0.2"
"Estimated Migration (Persons in April)","1999","Other countries (23)","Male","Emigrants: All destinations","Thousand","5.1"
"Estimated Migration (Persons in April)","1999","Other countries (23)","Male","Immigrants: All origins","Thousand","5.3"
"Estimated Migration (Persons in April)","1999","Other countries (23)","Female","Net migration","Thousand","-0.8"
"Estimated Migration (Persons in April)","1999","Other countries (23)","Female","Emigrants: All destinations","Thousand","4.4"
"Estimated Migration (Persons in April)","1999","Other countries (23)","Female","Immigrants: All origins","Thousand","5.2"
"Estimated Migration (Persons in April)","1999","All countries","Both sexes","Net migration","Thousand","17.3"
"Estimated Migration (Persons in April)","1999","All countries","Both sexes","Emigrants: All destinations","Thousand","31.5"
"Estimated Migration (Persons in April)","1999","All countries","Both sexes","Immigrants: All origins","Thousand","48.9"
"Estimated Migration (Persons in April)","1999","All countries","Male","Net migration","Thousand","9"
"Estimated Migration (Persons in April)","1999","All countries","Male","Emigrants: All destinations","Thousand","15.5"
"Estimated Migration (Persons in April)","1999","All countries","Male","Immigrants: All origins","Thousand","24.5"
"Estimated Migration (Persons in April)","1999","All countries","Female","Net migration","Thousand","8.3"
"Estimated Migration (Persons in April)","1999","All countries","Female","Emigrants: All destinations","Thousand","16.1"
"Estimated Migration (Persons in April)","1999","All countries","Female","Immigrants: All origins","Thousand","24.4"
"Estimated Migration (Persons in April)","1999","EU14 excl Irl (UK & Ireland)","Both sexes","Net migration","Thousand","4.7"
"Estimated Migration (Persons in April)","1999","EU14 excl Irl (UK & Ireland)","Both sexes","Emigrants: All destinations","Thousand","5.5"
"Estimated Migration (Persons in April)","1999","EU14 excl Irl (UK & Ireland)","Both sexes","Immigrants: All origins","Thousand","10.2"
"Estimated Migration (Persons in April)","1999","EU14 excl Irl (UK & Ireland)","Male","Net migration","Thousand","2.4"
"Estimated Migration (Persons in April)","1999","EU14 excl Irl (UK & Ireland)","Male","Emigrants: All destinations","Thousand","2.2"
"Estimated Migration (Persons in April)","1999","EU14 excl Irl (UK & Ireland)","Male","Immigrants: All origins","Thousand","4.6"
"Estimated Migration (Persons in April)","1999","EU14 excl Irl (UK & Ireland)","Female","Net migration","Thousand","-0.3"
"Estimated Migration (Persons in April)","1999","EU14 excl Irl (UK & Ireland)","Female","Emigrants: All destinations","Thousand","3.2"
"Estimated Migration (Persons in April)","1999","EU14 excl Irl (UK & Ireland)","Female","Immigrants: All origins","Thousand","5.7"
"Estimated Migration (Persons in April)","1999","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1999","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1999","EU15 to EU27 (accession countries joined post 2004)","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","EU15 to EU27 (accession countries joined post 2004)","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1999","EU15 to EU27 (accession countries joined post 2004)","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1999","EU15 to EU27 (accession countries joined post 2004)","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1999","EU15 to EU27 (accession countries joined post 2004)","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1999","EU15 to EU27 (accession countries joined post 2004)","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2000","United Kingdom (1)","Both sexes","Net migration","Thousand","13.6"
"Estimated Migration (Persons in April)","2000","United Kingdom (1)","Both sexes","Emigrants: All destinations","Thousand","7.2"
"Estimated Migration (Persons in April)","2000","United Kingdom (1)","Both sexes","Immigrants: All origins","Thousand","20.8"
"Estimated Migration (Persons in April)","2000","United Kingdom (1)","Male","Net migration","Thousand","7"
"Estimated Migration (Persons in April)","2000","United Kingdom (1)","Male","Emigrants: All destinations","Thousand","3.4"
"Estimated Migration (Persons in April)","2000","United Kingdom (1)","Male","Immigrants: All origins","Thousand","10.4"
"Estimated Migration (Persons in April)","2000","United Kingdom (1)","Female","Net migration","Thousand","6.8"
"Estimated Migration (Persons in April)","2000","United Kingdom (1)","Female","Emigrants: All destinations","Thousand","3.7"
"Estimated Migration (Persons in April)","2000","United Kingdom (1)","Female","Immigrants: All origins","Thousand","10.5"
"Estimated Migration (Persons in April)","2000","United States","Both sexes","Net migration","Thousand","1.5"
"Estimated Migration (Persons in April)","2000","United States","Both sexes","Emigrants: All destinations","Thousand","4"
"Estimated Migration (Persons in April)","2000","United States","Both sexes","Immigrants: All origins","Thousand","5.5"
"Estimated Migration (Persons in April)","2000","United States","Male","Net migration","Thousand","0.7"
"Estimated Migration (Persons in April)","2000","United States","Male","Emigrants: All destinations","Thousand","2.1"
"Estimated Migration (Persons in April)","2000","United States","Male","Immigrants: All origins","Thousand","2.8"
"Estimated Migration (Persons in April)","2000","United States","Female","Net migration","Thousand","0.8"
"Estimated Migration (Persons in April)","2000","United States","Female","Emigrants: All destinations","Thousand","1.9"
"Estimated Migration (Persons in April)","2000","United States","Female","Immigrants: All origins","Thousand","2.7"
"Estimated Migration (Persons in April)","2000","Canada","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","Canada","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2000","Canada","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2000","Canada","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","Canada","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2000","Canada","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2000","Canada","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","Canada","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2000","Canada","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2000","Australia","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","Australia","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2000","Australia","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2000","Australia","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","Australia","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2000","Australia","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2000","Australia","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2000","Australia","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2000","Australia","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2000","Other countries (23)","Both sexes","Net migration","Thousand","4.5"
"Estimated Migration (Persons in April)","2000","Other countries (23)","Both sexes","Emigrants: All destinations","Thousand","10"
"Estimated Migration (Persons in April)","2000","Other countries (23)","Both sexes","Immigrants: All origins","Thousand","14.5"
"Estimated Migration (Persons in April)","2000","Other countries (23)","Male","Net migration","Thousand","2.9"
"Estimated Migration (Persons in April)","2000","Other countries (23)","Male","Emigrants: All destinations","Thousand","5.2"
"Estimated Migration (Persons in April)","2000","Other countries (23)","Male","Immigrants: All origins","Thousand","8.1"
"Estimated Migration (Persons in April)","2000","Other countries (23)","Female","Net migration","Thousand","-1.6"
"Estimated Migration (Persons in April)","2000","Other countries (23)","Female","Emigrants: All destinations","Thousand","4.8"
"Estimated Migration (Persons in April)","2000","Other countries (23)","Female","Immigrants: All origins","Thousand","6.4"
"Estimated Migration (Persons in April)","2000","All countries","Both sexes","Net migration","Thousand","26"
"Estimated Migration (Persons in April)","2000","All countries","Both sexes","Emigrants: All destinations","Thousand","26.6"
"Estimated Migration (Persons in April)","2000","All countries","Both sexes","Immigrants: All origins","Thousand","52.6"
"Estimated Migration (Persons in April)","2000","All countries","Male","Net migration","Thousand","13.1"
"Estimated Migration (Persons in April)","2000","All countries","Male","Emigrants: All destinations","Thousand","13.1"
"Estimated Migration (Persons in April)","2000","All countries","Male","Immigrants: All origins","Thousand","26.2"
